flex1,flex2,flex3,flex4,flex5,sign
1013,982,1023,1022,1014,what is the current location
1014,983,1023,1022,1013,what is the current location
1014,982,1023,1023,1014,what is the current location
1013,979,1023,1022,1014,what is the current location
1011,986,1023,1022,1015,what is the current location
1012,987,1023,1022,1014,what is the current location
1013,984,1023,1022,1015,what is the current location
1014,984,1023,1022,1013,what is the current location
1013,985,1023,1022,1013,what is the current location
1014,982,1023,1022,1013,what is the current location
1013,983,1023,1022,1014,what is the current location
1012,984,1023,1021,1014,what is the current location
1012,981,1023,1022,1014,what is the current location
1022,1023,1023,1022,1012,what is the current location
1019,1004,1023,1022,1013,what is the current location
1016,1002,1023,1022,1013,what is the current location
1015,1004,1023,1022,1014,what is the current location
1015,1003,1023,1022,1013,what is the current location
1022,1023,1023,1022,1013,what is the current location
1016,1023,1022,1022,1014,what is the current location
1017,1013,1023,1022,1014,what is the current location
1018,1002,1023,1022,1014,what is the current location
1023,999,1022,1022,1015,what is the current location
1016,996,1023,1022,1014,what is the current location
1015,993,1023,1022,1014,what is the current location
1015,997,1023,1022,1015,what is the current location
1015,996,1022,1022,1015,what is the current location
1013,995,1023,1022,1014,what is the current location
1015,997,1023,1022,1014,what is the current location
1014,993,1023,1022,1014,what is the current location
1014,995,1023,1022,1014,what is the current location
1013,997,1023,1022,1015,what is the current location
1014,995,1023,1022,1013,what is the current location
1013,996,1023,1022,1013,what is the current location
1013,995,1023,1022,1013,what is the current location
1013,995,1022,1022,1019,what is the current location
1012,991,1023,1022,1015,what is the current location
1012,994,1023,1022,1013,what is the current location
1013,991,1023,1022,1014,what is the current location
1012,994,1023,1022,1013,what is the current location
1012,993,1023,1022,1017,what is the current location
1011,993,1023,1022,1013,what is the current location
1011,995,1022,1022,1014,what is the current location
1012,993,1023,1023,1015,what is the current location
1014,988,1023,1022,1015,what is the current location
1012,995,1023,1022,1016,what is the current location
1012,994,1023,1022,1015,what is the current location
1011,991,1022,1022,1014,what is the current location
1012,995,1023,1022,1015,what is the current location
1011,991,1023,1022,1015,what is the current location
1012,993,1023,1022,1014,what is the current location
1012,992,1022,1022,1015,what is the current location
1012,993,1023,1022,1014,what is the current location
1011,992,1023,1022,1013,what is the current location
1012,992,1023,1022,1014,what is the current location
1011,992,1023,1022,1014,what is the current location
1011,990,1023,1023,1017,what is the current location
1012,991,1023,1022,1016,what is the current location
1013,992,1023,1022,1015,what is the current location
1013,992,1023,1022,1018,what is the current location
1012,991,1023,1022,1015,what is the current location
1009,991,1023,1022,1015,what is the current location
1010,993,1023,1022,1014,what is the current location
1009,992,1023,1022,1017,what is the current location
1010,990,1023,1022,1014,what is the current location
1011,991,1023,1022,1014,what is the current location
1011,991,1023,1021,1015,what is the current location
1011,991,1023,1022,1014,what is the current location
1011,991,1022,1022,1017,what is the current location
1011,990,1023,1022,1015,what is the current location
1012,991,1022,1022,1017,what is the current location
1013,990,1023,1022,1015,what is the current location
1013,991,1023,1022,1019,what is the current location
1012,991,1023,1022,1014,what is the current location
1012,991,1022,1022,1015,what is the current location
1012,990,1023,1022,1016,what is the current location
1012,992,1023,1022,1015,what is the current location
1012,991,1023,1022,1014,what is the current location
1011,991,1023,1022,1020,what is the current location
1012,991,1023,1022,1015,what is the current location
1016,991,1023,1022,1014,what is the current location
1013,991,1023,1023,1015,what is the current location
1013,991,1023,1022,1014,what is the current location
1012,989,1023,1022,1014,what is the current location
1013,990,1023,1022,1014,what is the current location
1013,990,1023,1021,1015,what is the current location
1013,991,1023,1022,1014,what is the current location
1012,990,1023,1023,1018,what is the current location
1012,990,1023,1022,1013,what is the current location
1012,990,1023,1022,1013,what is the current location
1012,989,1023,1022,1013,what is the current location
1012,990,1023,1022,1012,what is the current location
1021,1018,1023,952,1021,call for the help
1021,1017,1022,948,1020,call for the help
1021,1017,1022,953,1021,call for the help
1021,1016,1023,951,1020,call for the help
1021,1015,1022,949,1021,call for the help
1021,1014,1022,944,1019,call for the help
1021,1015,1022,940,1018,call for the help
1021,1014,1022,938,1019,call for the help
1020,1015,1022,938,1019,call for the help
1020,1016,1023,936,1018,call for the help
1021,1014,1022,937,1019,call for the help
1021,1017,1023,939,1018,call for the help
1020,1017,1022,934,1018,call for the help
1021,1015,1022,934,1019,call for the help
1020,1015,1022,936,1019,call for the help
1020,1016,1022,932,1018,call for the help
1020,1015,1022,932,1018,call for the help
1021,1014,1021,937,1018,call for the help
1021,1016,1021,936,1018,call for the help
1020,1017,1022,934,1018,call for the help
1020,1016,1022,935,1018,call for the help
1020,1016,1022,939,1018,call for the help
1020,1015,1022,941,1018,call for the help
1021,1017,1022,942,1017,call for the help
1021,1015,1022,938,1019,call for the help
1020,1014,1022,938,1018,call for the help
1021,1015,1021,938,1018,call for the help
1021,1016,1022,933,1018,call for the help
1021,1015,1021,937,1017,call for the help
1021,1017,1022,936,1017,call for the help
1020,1014,1022,943,1018,call for the help
1021,1016,1022,935,1018,call for the help
1021,1016,1022,935,1018,call for the help
1021,1013,1021,939,1018,call for the help
1020,1015,1021,935,1018,call for the help
1020,1016,1022,934,1018,call for the help
1020,1016,1022,934,1018,call for the help
1020,1016,1021,942,1019,call for the help
1020,1013,1022,940,1019,call for the help
1021,1014,1022,939,1018,call for the help
1021,1016,1022,942,1019,call for the help
1020,1015,1022,944,1018,call for the help
1020,1017,1021,944,1018,call for the help
1021,1015,1022,943,1018,call for the help
1020,1015,1022,942,1019,call for the help
1021,1015,1022,945,1018,call for the help
1021,1016,1022,951,1017,call for the help
1021,1016,1021,954,1019,call for the help
1020,1016,1022,944,1020,call for the help
1020,1014,1021,949,1020,call for the help
1020,1013,1021,934,1020,call for the help
1020,1016,1021,937,1020,call for the help
1021,1015,1021,935,1020,call for the help
1021,1015,1021,940,931,call for the help
1021,1015,1021,941,904,call for the help
1021,1014,1022,941,1020,call for the help
1021,1015,1021,939,1019,call for the help
1020,1016,1021,938,1021,call for the help
1021,1015,1022,947,1019,call for the help
1021,1016,1022,940,1021,call for the help
1020,1015,1022,942,1021,call for the help
1021,1016,1021,944,1019,call for the help
1020,1016,1022,940,1022,call for the help
1021,1015,1022,938,1022,call for the help
1020,1016,1021,935,1020,call for the help
1021,1016,1022,937,1020,call for the help
1020,1016,1021,939,1021,call for the help
1021,1015,1022,942,1021,call for the help
1021,1014,1022,935,1021,call for the help
1021,1016,1022,935,1021,call for the help
1021,1014,1021,939,1021,call for the help
1021,1015,1021,941,1017,call for the help
1020,1015,1021,938,1016,call for the help
1020,1015,1021,937,1018,call for the help
1020,1014,1021,941,1018,call for the help
1020,1013,1021,938,1017,call for the help
1020,1014,1021,936,1017,call for the help
1020,1013,1021,936,1016,call for the help
1020,1014,1021,940,1017,call for the help
1020,1014,1021,935,1016,call for the help
1020,1013,1020,937,1016,call for the help
1020,1012,1021,937,1016,call for the help
1020,1014,1021,930,1015,call for the help
1020,1013,1021,934,1016,call for the help
1020,1014,1021,937,1016,call for the help
1020,1014,1020,934,1015,call for the help
1020,1014,1020,930,1016,call for the help
1020,1014,1021,935,1016,call for the help
1020,1014,1021,933,1016,call for the help
1020,1013,1021,930,1016,call for the help
1020,1015,1021,929,1016,call for the help
1020,1013,1021,938,1016,call for the help
1020,1014,1021,933,1016,call for the help
1020,1013,1021,935,1017,call for the help
1020,1014,1021,936,1016,call for the help
1020,1014,1021,933,1017,call for the help
1020,1014,1022,954,1017,call for the help
1020,1014,1021,942,1016,call for the help
1021,1014,1021,941,1017,call for the help
1020,1014,1021,933,1016,call for the help
1020,1015,1021,933,1017,call for the help
1020,1015,1021,939,1017,call for the help
1020,1014,1021,936,1016,call for the help
1020,1015,1021,942,1016,call for the help
1021,1014,1021,942,1016,call for the help
1021,1015,1021,938,1016,call for the help
1020,1014,1021,944,1017,call for the help
1021,1015,1021,939,1016,call for the help
1021,1012,1021,933,1016,call for the help
1021,1015,1021,929,1016,call for the help
1020,1015,1021,927,1016,call for the help
1021,1015,1021,944,1016,call for the help
1020,1014,1021,930,1016,call for the help
1020,1014,1021,935,1016,call for the help
1020,1015,1021,941,1016,call for the help
1021,1015,1021,937,1016,call for the help
1020,1015,1021,939,1016,call for the help
1020,1015,1021,940,1016,call for the help
1020,1015,1021,942,1016,call for the help
1021,1014,1021,943,1016,call for the help
1021,1015,1020,940,1016,call for the help
1020,1015,1022,948,1016,call for the help
1021,1014,1021,947,1016,call for the help
1021,1014,1021,943,1015,call for the help
1021,1015,1021,943,1016,call for the help
1020,1015,1021,941,1017,call for the help
1020,1015,1021,957,1016,call for the help
1021,1014,1021,943,1016,call for the help
1021,1014,1022,941,1015,call for the help
1020,1015,1021,945,1015,call for the help
1020,1014,1020,942,1016,call for the help
1020,1014,1020,943,1015,call for the help
1020,1014,1021,941,1015,call for the help
1020,1014,1020,944,1015,call for the help
1020,1013,1021,946,1018,call for the help
1020,1013,1021,944,1018,call for the help
1020,1014,1021,943,1017,call for the help
1020,1014,1021,942,1017,call for the help
